titulo,precio,proteinas,carbohidratos,grasas,fibra,calorias,texto_busqueda,norm_precio,norm_nutri,score_nutricional,categorias
Crema de calabacín,1.0,0.0,6.0,1.0,0.0,37.0,crema de calabacín dia al punto 500 ml conservas_y_caldos,0.933,0.0,48.3,conservas_y_caldos
Crema de verduras,1.0,0.0,5.5,1.3,0.0,39.0,crema de verduras dia al punto 500 ml conservas_y_caldos,0.933,0.0,48.25,conservas_y_caldos
Caldo de pollo,0.8,0.4,0.1,0.3,0.0,2.0,caldo de pollo dia al punto 1 l conservas_y_caldos,0.9642,1.25,50.43,conservas_y_caldos
Caldo de cocido,0.9,0.5,0.5,0.3,0.0,7.0,caldo de cocido dia al punto 1 l conservas_y_caldos,0.9486,1.56,50.5,conservas_y_caldos
Pastillas de caldo de pollo,1.45,12.0,20.0,7.7,0.0,199.0,pastillas de caldo de pollo dia al punto 24 unidades conservas_y_caldos,0.8629,37.5,60.15,conservas_y_caldos
Pastillas de caldo de verduras,0.9,13.2,20.9,5.1,0.0,185.0,pastillas de caldo de verduras dia al punto 12 unidades conservas_y_caldos,0.9486,41.25,63.07,conservas_y_caldos
Tarrrina helado lemon cake,2.99,0.0,29.0,15.1,0.0,266.0,tarrrina helado lemon cake dia temptation 350 g pastas_y_arroces,0.6231,0.0,36.65,pastas_y_arroces
Gel de ducha melocotón,1.45,0.0,0.0,0.0,0.0,0.0,gel de ducha melocotón dia imaqe 400 ml pastas_y_arroces,0.8629,0.0,50.0,pastas_y_arroces
Gel de ducha lima y menta,1.45,0.0,0.0,0.0,0.0,0.0,gel de ducha lima y menta dia imaqe 400 ml pastas_y_arroces,0.8629,0.0,50.0,pastas_y_arroces
Friegasuelos concentrado citronela Super Paco de,1.79,0.0,0.0,0.0,0.0,0.0,friegasuelos concentrado citronela super paco de dia 1 l pastas_y_arroces,0.81,0.0,50.0,pastas_y_arroces
Ambientador perlas citronela,1.45,0.0,0.0,0.0,0.0,0.0,ambientador perlas citronela dia super paco 110 g pastas_y_arroces,0.8629,0.0,50.0,pastas_y_arroces
Detergente máquina polvo,3.59,0.0,0.0,0.0,0.0,0.0,detergente máquina polvo dia super paco 25 lavados pastas_y_arroces,0.5296,0.0,50.0,pastas_y_arroces
Detergente máquina polvo marsella,3.35,0.0,0.0,0.0,0.0,0.0,detergente máquina polvo marsella dia super paco 25 lavados pastas_y_arroces,0.567,0.0,50.0,pastas_y_arroces
Estropajo limpieza delicada Super Paco de,1.2,0.0,0.0,0.0,0.0,0.0,estropajo limpieza delicada super paco de dia 3 unidades pastas_y_arroces,0.9019,0.0,50.0,pastas_y_arroces
Estropajo suciedad resistente Super Paco de,0.9,0.0,0.0,0.0,0.0,0.0,estropajo suciedad resistente super paco de dia 3 unidades pastas_y_arroces,0.9486,0.0,50.0,pastas_y_arroces
Estropajo salvauñas suciedad resistente Super Paco de,0.75,0.0,0.0,0.0,0.0,0.0,estropajo salvauñas suciedad resistente super paco de dia estuche 3 unidades pastas_y_arroces,0.972,0.0,50.0,pastas_y_arroces
Estropajo salvauñas limpieza delicada Super Paco de,0.95,0.0,0.0,0.0,0.0,0.0,estropajo salvauñas limpieza delicada super paco de dia estuche 3 unidades pastas_y_arroces,0.9408,0.0,50.0,pastas_y_arroces
Naranjas para zumo bolsa,3.79,0.0,0.0,0.0,0.0,0.0,naranjas para zumo bolsa 4 kg pastas_y_arroces,0.4984,0.0,50.0,pastas_y_arroces
Patatas,3.79,0.0,0.0,0.0,0.0,0.0,patatas 4 kg pastas_y_arroces,0.4984,0.0,50.0,pastas_y_arroces
Calabacín unidad,0.57,0.0,0.0,0.0,0.0,0.0,calabacín unidad 380 g aprox. pastas_y_arroces,1.0,0.0,50.0,pastas_y_arroces
Champiñón entero bandeja,1.0,0.0,0.0,0.0,0.0,0.0,champiñón entero bandeja 250 g pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Pera conferencia bandeja,1.29,0.0,0.0,0.0,0.0,0.0,pera conferencia bandeja 700 g pastas_y_arroces,0.8879,0.0,50.0,pastas_y_arroces
Mango bandeja 2 unidades,1.49,0.0,0.0,0.0,0.0,0.0,mango bandeja 2 unidades pastas_y_arroces,0.8567,0.0,50.0,pastas_y_arroces
Fresón bandeja,2.49,0.0,0.0,0.0,0.0,0.0,fresón bandeja 500 g pastas_y_arroces,0.7009,0.0,50.0,pastas_y_arroces
Mandarina selección malla,1.99,0.0,0.0,0.0,0.0,0.0,mandarina selección malla 750 g pastas_y_arroces,0.7788,0.0,50.0,pastas_y_arroces
Arroz extra,1.0,6.8,78.0,0.7,0.0,348.0,arroz extra dia arrozona 1 kg pastas_y_arroces,0.933,21.25,44.25,pastas_y_arroces
Queso sándwich,1.0,28.0,0.0,17.0,0.0,265.0,queso sándwich dia láctea 160 g pastas_y_arroces,0.933,87.5,83.5,pastas_y_arroces
Judías verdes planas Dia,1.0,0.7,2.6,0.5,0.0,16.0,judías verdes planas dia vegecampo 360 g pastas_y_arroces,0.933,2.19,50.28,pastas_y_arroces
Lentejas con chorizo,1.0,5.1,8.9,3.2,0.0,90.0,lentejas con chorizo dia al punto 430 g pastas_y_arroces,0.933,15.94,54.27,pastas_y_arroces
Masa de hojaldre,1.0,5.9,36.5,23.4,0.0,396.0,masa de hojaldre dia al punto bolsa 230 g pastas_y_arroces,0.933,18.44,39.85,pastas_y_arroces
Tortillas de trigo integral,1.0,9.4,41.0,6.8,0.0,283.0,tortillas de trigo integral dia al punto 320 g pastas_y_arroces,0.933,29.38,52.5,pastas_y_arroces
Cóctel de picos,1.0,11.5,71.8,5.3,0.0,392.0,cóctel de picos el molino de dia 250 g pastas_y_arroces,0.933,35.94,50.24,pastas_y_arroces
Sobaos,1.0,0.0,53.0,22.1,0.0,432.0,sobaos el molino de dia bolsa 350 g pastas_y_arroces,0.933,0.0,28.35,pastas_y_arroces
Gel de ducha hidratante de almendras y miel,1.0,0.0,0.0,0.0,0.0,0.0,gel de ducha hidratante de almendras y miel dia imaqe botella 750 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Enjuague bucal protección dientes y encías,1.0,0.0,0.0,0.0,0.0,0.0,enjuague bucal protección dientes y encías dia imaqe botella 500 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Toallitas para bebés cremosas Planeta Bebé de,1.0,0.0,0.0,0.0,0.0,0.0,toallitas para bebés cremosas planeta bebé de dia bolsa 48 unidades pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Jabón de manos de almendra y miel,1.0,0.0,0.0,0.0,0.0,0.0,jabón de manos de almendra y miel dia imaqe bote 500 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Gel de ducha con glicerina clásico,1.0,0.0,0.0,0.0,0.0,0.0,gel de ducha con glicerina clásico dia imaqe botella 750 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Toallitas desmaquillantes para pieles sensibles con extractos de rosas,1.0,0.0,0.0,0.0,0.0,0.0,toallitas desmaquillantes para pieles sensibles con extractos de rosas dia imaqe bolsa 30 unidades pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Pasta de dientes herbal,1.0,0.0,0.0,0.0,0.0,0.0,pasta de dientes herbal dia imaqe tubo 75 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Enjuague bucal acción total,1.0,0.0,0.0,0.0,0.0,0.0,enjuague bucal acción total dia imaqe botella 500 ml pastas_y_arroces,0.933,0.0,50.0,pastas_y_arroces
Arroz con secreto ibérico y setas,3.49,5.3,28.0,9.7,0.0,223.0,arroz con secreto ibérico y setas 350 g platos_preparados,0.5452,16.56,47.5,platos_preparados
Libritos de jamón y queso con patatas fritas,3.49,8.4,21.0,12.0,0.0,226.0,libritos de jamón y queso con patatas fritas 250 g platos_preparados,0.5452,26.25,52.4,platos_preparados
Espaguetis carbonara,2.99,5.1,20.0,7.5,0.0,173.0,espaguetis carbonara 350 g platos_preparados,0.6231,15.94,49.9,platos_preparados
Ensaladilla rusa,2.99,4.7,3.6,16.0,0.0,187.0,ensaladilla rusa 350 g platos_preparados,0.6231,14.69,48.33,platos_preparados
Tortilla de patata ESTILO TRADICIONAL con cebolla 1.,6.99,4.1,11.0,8.3,1.9,139.0,tortilla de patata estilo tradicional con cebolla 1.3 kg platos_preparados,0.0,12.81,53.6,platos_preparados
Tortilla de patatas con cebolla,2.79,5.2,11.0,9.0,0.0,147.0,tortilla de patatas con cebolla dia al punto 600 g platos_preparados,0.6542,16.25,51.1,platos_preparados
Empanada de atún,3.6,9.0,28.0,14.0,1.5,277.0,empanada de atún el molino de dia 500 g platos_preparados,0.528,28.12,53.9,platos_preparados
Empanada de pollo cremoso,3.65,7.8,28.0,12.0,1.4,256.0,empanada de pollo cremoso el molino de dia 500 g platos_preparados,0.5202,24.38,52.9,platos_preparados
Pizza jamón y queso,2.41,12.0,26.0,7.5,0.0,223.0,pizza jamón y queso dia al punto 400 g platos_preparados,0.7134,37.5,59.05,platos_preparados
Pizza 4 quesos,2.76,13.0,31.0,12.0,0.0,281.0,pizza 4 quesos dia al punto 390 g platos_preparados,0.6589,40.62,57.3,platos_preparados
Pizza barbacoa,2.99,10.0,31.0,8.1,0.0,242.0,pizza barbacoa dia al punto 425 g platos_preparados,0.6231,31.25,54.75,platos_preparados
Pizza carbonara,2.7,0.0,28.2,9.4,0.0,244.0,pizza carbonara dia al punto 400 g platos_preparados,0.6682,0.0,39.66,platos_preparados
Pizza cuatro quesos,2.49,11.5,27.0,10.7,0.0,254.0,pizza cuatro quesos dia al punto 400 g platos_preparados,0.7009,35.94,56.5,platos_preparados
Baguette de jamón y queso 2 unidades,1.89,11.0,28.0,6.2,0.0,217.0,baguette de jamón y queso 2 unidades dia al punto 250 g platos_preparados,0.7944,34.38,57.8,platos_preparados
Pizza barbacoa,2.49,9.9,28.0,8.3,0.0,231.0,pizza barbacoa dia al punto 350 g platos_preparados,0.7009,30.94,55.1,platos_preparados
Pizza Stranger Things royale California,4.49,15.0,14.0,11.0,3.0,215.0,pizza stranger things royale california 446 g platos_preparados,0.3894,46.88,70.2,platos_preparados
Sándwich mixto Casa,1.99,14.2,29.4,8.2,0.0,248.0,sándwich mixto casa tarradellas 240 g platos_preparados,0.7788,44.38,61.32,platos_preparados
Flautas de pollo y 2 quesos,2.16,15.1,30.0,7.0,0.0,243.0,flautas de pollo y 2 quesos dia al punto 275 g platos_preparados,0.7523,47.19,63.15,platos_preparados
Flautas de bacon y 2 quesos,2.16,8.7,29.8,12.0,0.0,262.0,flautas de bacon y 2 quesos dia al punto 275 g platos_preparados,0.7523,27.19,51.09,platos_preparados
Flautas de carne barbacoa con bacon,2.16,10.1,31.7,9.5,0.0,253.0,flautas de carne barbacoa con bacon dia al punto 275 g platos_preparados,0.7523,31.56,54.06,platos_preparados
Fabada,1.0,6.0,11.0,8.5,0.0,150.0,fabada asturiana dia al punto 435 g platos_preparados,0.933,18.75,52.55,platos_preparados
Albóndigas,1.78,8.4,5.1,9.5,0.0,142.0,albóndigas dia al punto 415 g platos_preparados,0.8115,26.25,56.83,platos_preparados
Lasaña boloñesa,2.49,6.1,14.0,7.7,0.0,152.0,lasaña boloñesa dia al punto 350 g platos_preparados,0.7009,19.06,52.5,platos_preparados
Crema de espárragos,1.5,1.0,3.7,3.0,0.0,25.0,crema de espárragos dia al punto 300 g platos_preparados,0.8551,3.12,49.26,platos_preparados
Tortillas de trigo,1.02,8.0,53.0,7.4,0.0,316.0,tortillas de trigo dia al punto 320 g platos_preparados,0.9299,25.0,47.7,platos_preparados
Chili con carne Old El Paso,3.99,8.6,9.3,2.8,3.4,104.0,chili con carne old el paso 418 g platos_preparados,0.4673,26.88,66.44,platos_preparados
"Relleno para fajitas con pollo, pimientos y cebolla",1.95,9.9,5.8,1.2,0.0,77.0,"relleno para fajitas con pollo, pimientos y cebolla dia al punto 300 g platos_preparados",0.785,30.94,63.09,platos_preparados
Noodles orientales sabor pollo,0.9,8.5,60.0,20.0,0.0,465.0,noodles orientales sabor pollo dia al punto 65 g platos_preparados,0.9486,26.56,40.75,platos_preparados
Noodles de pollo,1.55,2.1,12.0,3.9,0.0,92.0,noodles de pollo gallina blanca yatekomo 60 g platos_preparados,0.8474,6.56,48.8,platos_preparados
Gyozas de pollo y verduras al teppanyaki,2.99,2.8,28.9,3.8,0.0,161.0,gyozas de pollo y verduras al teppanyaki dia al punto 140 g platos_preparados,0.6231,8.75,46.52,platos_preparados
Rollitos de primavera,2.45,3.2,23.0,1.9,0.0,127.0,rollitos de primavera dia al punto 280 g platos_preparados,0.7072,10.0,49.25,platos_preparados
Ensalada César,2.79,7.8,8.0,12.0,0.0,171.0,ensalada césar dia al punto 210 g platos_preparados,0.6542,24.38,54.1,platos_preparados
Ensalada de pasta y rúcula Florette,3.09,7.3,22.0,7.8,1.5,192.0,ensalada de pasta y rúcula florette 325 g platos_preparados,0.6075,22.81,55.65,platos_preparados
"Ensalada de pasta, atún y huevo",2.79,8.2,14.0,6.9,0.0,153.0,"ensalada de pasta, atún y huevo dia al punto 265 g platos_preparados",0.6542,25.62,56.05,platos_preparados
Ensalada Xtreme pollo crispy Florette,3.49,7.8,10.0,21.0,2.1,260.0,ensalada xtreme pollo crispy florette 210 g platos_preparados,0.5452,24.38,53.4,platos_preparados
Gazpacho,1.69,0.6,3.0,2.3,0.0,37.0,gazpacho dia al punto 1 l platos_preparados,0.8255,1.88,49.15,platos_preparados
Salmorejo,2.19,0.8,4.8,5.0,0.0,69.0,salmorejo dia al punto 1 l platos_preparados,0.7477,2.5,47.74,platos_preparados
Gazpacho,2.19,0.6,3.0,2.3,0.0,37.0,gazpacho dia al punto 3 x 330 ml platos_preparados,0.7477,1.88,49.15,platos_preparados
Gazpacho suave,1.89,0.5,2.8,2.4,0.0,37.0,gazpacho suave dia al punto 1 l platos_preparados,0.7944,1.56,48.99,platos_preparados
